"filename", "language", "JSON with Comments", "Markdown", "JavaScript JSX", "TypeScript", "JavaScript", "Dotenv", "TypeScript JSX", "PostCSS", "JSON", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 7, 65
"c:\Users\Bot\Desktop\ToDonate\frontend\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 7, 60
"c:\Users\Bot\Desktop\ToDonate\frontend\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 10, 20, 155
"c:\Users\Bot\Desktop\ToDonate\frontend\src\lib\auth.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\Bot\Desktop\ToDonate\frontend\src\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Bot\Desktop\ToDonate\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 20
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\AdminPage.jsx", "JavaScript JSX", 0, 0, 368, 0, 0, 0, 0, 0, 0, 0, 0, 5, 33, 406
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\CampaignDetailPage.jsx", "JavaScript JSX", 0, 0, 476, 0, 0, 0, 0, 0, 0, 0, 0, 19, 68, 563
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\CampaignPage.jsx", "JavaScript JSX", 0, 0, 149, 0, 0, 0, 0, 0, 0, 0, 0, 5, 8, 162
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\DonatePage.jsx", "JavaScript JSX", 0, 0, 317, 0, 0, 0, 0, 0, 0, 0, 0, 13, 17, 347
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\ExplorePage.jsx", "JavaScript JSX", 0, 0, 214, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 247
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\HomePage.jsx", "JavaScript JSX", 0, 0, 103, 0, 0, 0, 0, 0, 0, 0, 0, 8, 13, 124
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\NotFound.jsx", "JavaScript JSX", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\PaymentResult.jsx", "JavaScript JSX", 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 15, 19, 156
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\ProfilePage.jsx", "JavaScript JSX", 0, 0, 672, 0, 0, 0, 0, 0, 0, 0, 0, 47, 67, 786
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\ProjectDetailPage.jsx", "JavaScript JSX", 0, 0, 203, 0, 0, 0, 0, 0, 0, 0, 0, 9, 27, 239
"c:\Users\Bot\Desktop\ToDonate\frontend\src\pages\UserPage.jsx", "JavaScript JSX", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 15, 35, 289
"c:\Users\Bot\Desktop\ToDonate\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 88, 0, 0, 0, 0, 0, 0, 6, 16, 110
"c:\Users\Bot\Desktop\ToDonate\frontend\tsconfig.json", "JSON with Comments", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Bot\Desktop\ToDonate\frontend\vite.config.js", "JavaScript", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"Total", "-", 20, 3, 3280, 5, 1863, 2, 1669, 125, 8603, 2, 13, 353, 1000, 16938
